Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,cit/year
1,"Y LeCun, Y Bengio, G Hinton",Deep learning,94375,2015, nature.com, nature,"… Deep learning allows computational models that are composed of multiple processing 
layers to learn … Deep learning discovers intricate structure in large data sets by using the …",https://www.nature.com/articles/nature14539,8580
2,"I Goodfellow, Y Bengio, A Courville, Y Bengio",Deep learning,75799,2016, synapse.koreamed.org,,"Kwang Gi Kim https://doi. org/10.4258/hir. 2016.22. 4.351 ing those who are beginning their 
careers in deep learning and artificial intelligence research. The other target audience …",https://synapse.koreamed.org/pdf/10.4258/hir.2016.22.4.351,7580
38,J Schmidhuber,Deep learning in neural networks: An overview,24645,2015, Elsevier, Neural networks,"… deep supervised learning (also recapitulating the history of backpropagation), unsupervised 
learning, reinforcement learning & … for short programs encoding deep and large networks. …",https://www.sciencedirect.com/science/article/pii/S0893608014002135,2240
11,"L Deng, D Yu",Deep learning: methods and applications,6273,2014, nowpublishers.com, Foundations and trends® in signal processing,"… This was accomplished using a special form of the deep neural net, … of deep learning in 
ASR, this book also provides an overview of a sweeping range of upto-date deep learning …",https://www.nowpublishers.com/article/Details/SIG-039,523
50,MA Nielsen,Neural networks and deep learning,6099,2015, aliosmangokcan.com,,"… deep learning. They’ve been developed further, and today deep neural networks and deep 
learning … chapter we’ll be in position to understand what deep learning is, and why it matters. …",http://aliosmangokcan.com/images/notes/yapay_sinir_agi_derin_ogrenme_pdf_ders_notu_e-book.pdf,554
46,"E Strubell, A Ganesh, A McCallum",Energy and policy considerations for modern deep learning research,4645,2020, ojs.aaai.org, … of the AAAI conference on artificial …,"… In this article, we summarize previous work characterizing the energy required to train 
and develop recent deep learning models for NLP, and share conclusions and recommendations …",https://ojs.aaai.org/index.php/AAAI/article/view/7123,774
37,"J Ngiam, A Khosla, M Kim, J Nam, H Lee, AY Ng",Multimodal deep learning.,4385,2011, academia.edu, ICML,"… deep networks to learn features over multiple modalities. We present a series of tasks for 
multimodal learning and show how to train deep networks that learn … modality feature learning, …",https://www.academia.edu/download/74090107/icml11-MultimodalDeepLearning.pdf,292
48,"A Voulodimos, N Doulamis, A Doulamis…",Deep learning for computer vision: A brief review,4310,2018, Wiley Online Library, Computational …,"… deep learning schemes used in computer vision problems, that is, Convolutional Neural 
Networks, Deep Boltzmann Machines and Deep Belief … in designing deep learning schemes for …",https://onlinelibrary.wiley.com/doi/abs/10.1155/2018/7068349,539
22,"A Kamilaris, FX Prenafeta-Boldú",Deep learning in agriculture: A survey,4179,2018, Elsevier, Computers and electronics in agriculture,"… employ deep learning … deep learning with other existing popular techniques, in respect to 
differences in classification or regression performance. Our findings indicate that deep learning …",https://www.sciencedirect.com/science/article/pii/S0168169917308803,522
68,CC Aggarwal,Neural networks and deep learning,4148,2018, Springer,,"… label of “deep learning.” Although … deep neural architectures than was previously possible. 
The resulting success has changed the broader perception of the potential of deep learning. …",https://link.springer.com/content/pdf/10.1007/978-3-031-29642-0.pdf,518
83,"C Sun, A Shrivastava, S Singh…",Revisiting unreasonable effectiveness of data in deep learning era,3385,2017, openaccess.thecvf.com, Proceedings of the …,"… Specifically, we focus on understanding the relationship between data and visual deep 
learning. There have been some efforts to understand this relationship. For example, Oquab et al…",http://openaccess.thecvf.com/content_iccv_2017/html/Sun_Revisiting_Unreasonable_Effectiveness_ICCV_2017_paper.html,376
12,"C Janiesch, P Zschech, K Heinrich",Machine learning and deep learning,3041,2021, Springer, Electronic markets,"… Machine learning describes the capacity of systems to learn … Deep learning is a machine 
learning concept based on … , deep learning models outperform shallow machine learning …",https://link.springer.com/article/10.1007/s12525-021-00475-2,608
7,"Y Guo, Y Liu, A Oerlemans, S Lao, S Wu, MS Lew",Deep learning for visual understanding: A review,2967,2016, Elsevier, Neurocomputing,"… In Section 3, we describe the achievements of deep learning schemes in various computer 
vision applications, ie image classification, object detection, image retrieval, semantic …",https://www.sciencedirect.com/science/article/pii/S0925231215017634,297
