Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
71,"CM Bishop, NM Nasrabadi",Pattern recognition and machine learning,79162,2006, Springer,,"… There are no other books that apply graphical models to machine learning. … Pattern 
recognition has its origins in engineering, whereas machine learning grew out of computer science. …",https://link.springer.com/book/9780387310732,http://crowley-coutaz.fr/jlc/Courses/2020/PRML/ENSI3.PRML.S6.Encoders.pdf,3958
6,"TM Mitchell, TM Mitchell",Machine learning,40483,1997, pachecoj.com,,"… What is machine learning? … • Traditional AI: you encode the knowledge (eg, logic 
statements), and the machine executes it, with some more ‘inference’ like if a -> b and b-> c …",http://www.pachecoj.com/courses/csc380_fall21/lectures/mlintro.pdf,http://www.pachecoj.com/courses/csc380_fall21/lectures/mlintro.pdf,1396
60,KP Murphy,Machine learning: a probabilistic perspective,17889,2012, books.google.com,,"… 14 1.4 Some basic concepts in machine learning … In machine learning, uncertainty comes 
in many forms: what is the … to machine learning. For any given model, a variety of algorithms …",https://books.google.com/books?hl=en&lr=&id=RC43AgAAQBAJ&oi=fnd&pg=PR7&dq=Machine+Learning&ots=unjzcATvZ8&sig=LBWncQEiV_xeaZWu2thEbmql2-E,No PDF link,1278
51,E Alpaydin,Introduction to machine learning,15619,2020, books.google.com,,"… and Machine Learning series appears at the back of this book. … some learning components; 
actually most such systems would not have been possible today if not for machine learning. …",https://books.google.com/books?hl=en&lr=&id=uZnSDwAAQBAJ&oi=fnd&pg=PR7&dq=Machine+Learning&ots=xOuWtvNosS&sig=vT48PUrANfZEA_2YnnxwGJuMn7g,https://www.bme.ufl.edu/wp-content/uploads/2018/07/Fall-2015-Syllabus-BME6938-Machine-Learning.pdf,2603
4,"MI Jordan, TM Mitchell","Machine learning: Trends, perspectives, and prospects",11245,2015, science.org, Science,"… Machine learning addresses the question of how to build computers that improve … Recent 
progress in machine learning has been driven both by the development of new learning …",https://www.science.org/doi/abs/10.1126/science.aaa8415,http://www.cs.cmu.edu/~tom/pubs/Science-ML-2015.pdf,1022
35,"S Shalev-Shwartz, S Ben-David",Could not catch title,9003,2014, Cambridge university press,,,"Look manually at: https://scholar.google.com/scholar?start=30&q=Machine+Learning&hl=en&as_sdt=0,5",https://mlodyobywatel.ceo.org.pl/sites/mlodyobywatel.ceo.org.pl/files/webform/pdf-understanding-machine-learning-from-theory-to-algorithms-shai-shalev-shwartz-shai-ben-david-pdf-download-free-book-171ad88.pdf,750
32,"V Goar, NS Yadav",Foundations of machine learning,7254,2024,global.com,,"… Machine learning is a rapidly evolving domain with wide-ranging … Machine learning is a 
pivotal technology that has revolutionized … on their journey into the world of machine learning. …",https://www.igi-global.com/chapter/foundations-of-machine-learning/344516,https://dlib.hust.edu.vn/bitstream/HUST/24963/1/OER000003225.pdf,3627
76,JJ Grefenstette,Genetic algorithms and machine learning,5191,1993, dl.acm.org, … the sixth annual conference on Computational learning …,"One approach to the design of learning systems is to extract heuristics from existing adaptive 
systems. Genetic algorithms are heuristic learning models based on principles drawn from …",https://dl.acm.org/doi/pdf/10.1145/168304.168305,https://dl.acm.org/doi/pdf/10.1145/168304.168305,157
49,DE King,Dlib-ml: A machine learning toolkit,4534,2009, jmlr.org, The Journal of Machine Learning Research,"… provide support for developing machine learning software in … rich environment for developing 
machine learning software in the … components, linear algebra and machine learning tools. …",http://www.jmlr.org/papers/volume10/king09a/king09a.pdf,http://www.jmlr.org/papers/volume10/king09a/king09a.pdf,267
69,"KT Butler, DW Davies, H Cartwright, O Isayev, A Walsh",Machine learning for molecular and materials science,3988,2018, nature.com, Nature,"… Here we summarize recent progress in machine learning for the chemical sciences. We 
outline machine-learning techniques that are suitable for addressing research questions in this …",https://www.nature.com/articles/s41586-018-0337-2,https://researchportal.bath.ac.uk/files/186476034/Walsh_MachineLearning_FinalSubmission.pdf,498
54,"IH Witten, E Frank, MA Hall, CJ Pal, M Data",Practical machine learning tools and techniques,3470,2005, alvarestech.com, Data mining,"… Machine learning provides the technical basis of data mining. … tools and techniques of 
machine learning that are used in … attention, the use of machine learning is surrounded by a great …","http://alvarestech.com/temp/Industria4.0/2019/(Morgan%20Kaufmann%20Series%20in%20Data%20Management%20Systems)%20Ian%20H.%20Witten,%20Eibe%20Frank,%20Mark%20A.%20Hall,%20Christopher%20J.%20Pal%20-%20Data%20Mining_%20Practical%20Machine%20Learning%20Tools%20and%20Techniques-Morgan%20Kaufmann%20Publisher.pdf","http://alvarestech.com/temp/Industria4.0/2019/(Morgan%20Kaufmann%20Series%20in%20Data%20Management%20Systems)%20Ian%20H.%20Witten,%20Eibe%20Frank,%20Mark%20A.%20Hall,%20Christopher%20J.%20Pal%20-%20Data%20Mining_%20Practical%20Machine%20Learning%20Tools%20and%20Techniques-Morgan%20Kaufmann%20Publisher.pdf",165
1,B Mahesh,Machine learning algorithms-a review,3426,2020, researchgate.net, International Journal of Science and Research …,"… Here‟sa quick look at some of the commonly used algorithms in machine learning (ML) 
Supervised Learning Supervised learning is the machine learning task of learning a function …",https://www.researchgate.net/profile/Batta-Mahesh/publication/344717762_Machine_Learning_Algorithms_-A_Review/links/5f8b2365299bf1b53e2d243a/Machine-Learning-Algorithms-A-Review.pdf?eid=5082902844932096t,https://www.researchgate.net/profile/Batta-Mahesh/publication/344717762_Machine_Learning_Algorithms_-A_Review/links/5f8b2365299bf1b53e2d243a/Machine-Learning-Algorithms-A-Review.pdf?eid=5082902844932096t,571
48,"KG Liakos, P Busato, D Moshou, S Pearson, D Bochtis",Machine learning in agriculture: A review,3080,2018, mdpi.com, Sensors,"… research dedicated to applications of machine learning in agricultural production systems. … 
will benefit from machine learning technologies. By applying machine learning to sensor data, …",https://www.mdpi.com/1424-8220/18/8/2674,https://www.mdpi.com/1424-8220/18/8/2674/pdf,385
95,S Marsland,Machine learning: an algorithmic perspective,3072,2011, taylorfrancis.com,,"… advances and applications in machine learning and pattern recognition … of machine learning, 
pattern recognition, computational intelligence, robotics, computational/statistical learning …",https://www.taylorfrancis.com/books/mono/10.1201/9781420067194/machine-learning-stephen-marsland,https://www.academia.edu/download/51978893/311492943-Machine-Learning-pdf.pdf,205
44,"C Janiesch, P Zschech, K Heinrich",Machine learning and deep learning,3041,2021, Springer, Electronic markets,"… Machine learning … Deep learning is a machine learning concept based on artificial neural 
networks. For many applications, deep learning models outperform shallow machine learning …",https://link.springer.com/article/10.1007/s12525-021-00475-2,https://link.springer.com/content/pdf/10.1007/s12525-021-00475-2.pdf,608
2,ZH Zhou,Machine learning,3022,2021, books.google.com,,"… from data is called learning or training. The … machine learning is to find or approximate 
ground-truth. In this book, models are sometimes called learners, which are machine learning …",https://books.google.com/books?hl=en&lr=&id=ctM-EAAAQBAJ&oi=fnd&pg=PR6&dq=Machine+Learning&ots=o_MmW4Yw5v&sig=TCE6soQB12BiQ8wDbuS9hxQ3kkI,https://courses.cs.washington.edu/courses/cse160/18sp/sections/09/MachineLearning.pdf,604
65,"SL Brunton, BR Noack…",Machine learning for fluid mechanics,2859,2020, annualreviews.org, Annual review of fluid …,"… At the beginning of a new millennium, with increasingly powerful tools in machine 
learning and data-driven optimization, we are again learning how to learn from experience. …",https://www.annualreviews.org/content/journals/10.1146/annurev-fluid-010719-060214,https://www.annualreviews.org/content/journals/10.1146/annurev-fluid-010719-060214?crawler=true&mimetype=application/pdf,476
15,"G Carleo, I Cirac, K Cranmer, L Daudet, M Schuld…",Machine learning and the physical sciences,2632,2019, APS, Reviews of Modern …,"… II, where the interaction with machine learning has a long history, drawing on methods in … 
in machine learning. We then turn the wheel in the other direction of using machine learning for …",https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.91.045002,https://link.aps.org/accepted/10.1103/RevModPhys.91.045002,376
90,"S Mullainathan, J Spiess",Machine learning: an applied econometric approach,2568,2017, aeaweb.org, Journal of Economic Perspectives,"… machine learning that gives it its own place in the econometric toolbox. Central to our 
understanding is that machine learning … Machine learning (or rather “supervised” machine …",https://www.aeaweb.org/articles?id=10.1257%2Fjep.31.2.87&ref=ds-econ,https://pubs.aeaweb.org/doi/pdf/10.1257/jep.31.2.87,285
14,"C Sammut, GI Webb",Encyclopedia of machine learning,2447,2011, books.google.com,,"… Machine Learning came to be identified as a research field in its … machine learning appeared. 
Although the field coalesced in the 1980s, research on what we now call machine learning …",https://books.google.com/books?hl=en&lr=&id=i8hQhp1a62UC&oi=fnd&pg=PA3&dq=Machine+Learning&ots=92mcAukF6N&sig=LnCtmjOqhNHcGmcwqAzPaT8RQrc,No PDF link,163
12,"W Li, C Wang, G Cheng, Q Song",International conference on machine learning,2423,2023, par.nsf.gov, Transactions on machine learning …,"In this paper, we make the key delineation on the roles of resolution and statistical uncertainty 
in hierarchical bandits-based black-box optimization algorithms, guiding a more general …",https://par.nsf.gov/servlets/purl/10418406,https://par.nsf.gov/servlets/purl/10418406,808
53,TG Dietterich,Machine-learning research,2182,1997, ojs.aaai.org, AI magazine,"… in symbolic machine learning, computational learning theory, … Second, machine-learning 
techniques are being applied to … In this article, I selected four topics within machine learning …",https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/1324,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/download/1324/1225,75
86,"P Baldi, S Brunak",Bioinformatics: the machine learning approach,2078,2001, books.google.com,,"… Machine learning approaches (eg, neural networks, hidden … The goal in machine learning 
is to extract useful information … present the key machine learning approaches and apply them …",https://books.google.com/books?hl=en&lr=&id=pxSM7R1sdeQC&oi=fnd&pg=PR9&dq=Machine+Learning&ots=SOHHJ81_Yp&sig=VSWsiPJOA5JLip26nXOm4-ITKgM,http://www.ir.juit.ac.in:8080/jspui/bitstream/123456789/5345/1/Bioinformatics%20The%20Machine%20Learning%20Approach.pdf,83
9,"H Wang, Z Lei, X Zhang, B Zhou, J Peng",Machine learning basics,1920,2016, whdeng.cn, Deep learning,"… To obtain theoretical guarantees about generalization of a machine learning algorithm, we 
… Why does deep learning have different behavior than other machine learning methods for …",http://whdeng.cn/Teaching/PPT_01_Machine%20learning%20Basics.pdf,http://whdeng.cn/Teaching/PPT_01_Machine%20learning%20Basics.pdf,192
5,"I El Naqa, MJ Murphy",What is machine learning?,1740,2015, Springer, Machine learning in radiation oncology: theory and …,"… A machine learning algorithm is a computational process that … This training is the “learning” 
part of machine learning. The … can practice “lifelong” learning as it processes new data and …",https://link.springer.com/chapter/10.1007/978-3-319-18305-3_1,"http://vision.uamt.feec.vutbr.cz/ROZ/lectures/Machine%20Learning%20in%20Computer%20Vision%20(F.F.%20Li,%20Stanford).pdf",158
64,H Ij,Statistics versus machine learning,1580,2018, nature.com, Nat Methods,"… Many methods from statistics and machine learning (ML) may, in principle, be used for both 
… By contrast, ML concentrates on prediction by using general-purpose learning algorithms to …",https://www.nature.com/articles/nmeth.4642.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC6082636/pdf/nihms962164.pdf,198
25,P Harrington,Machine learning in action,1506,2012, books.google.com,,"… uses of machine learning algorithms so that the reader can build better applications. … 
machine learning to massive datasets that cannot be adequately addressed on a single machine…",https://books.google.com/books?hl=en&lr=&id=XTozEAAAQBAJ&oi=fnd&pg=PT19&dq=Machine+Learning&ots=px-hM4PPbo&sig=CUdQw6jTIbkZeCpuz13Ny5pHykA,https://thuvienso.dau.edu.vn:88/bitstream/DHKTDN/6832/1/6185.Machine%20Learning%20in%20Action.pdf,108
