Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
2,"A Zoha, A Gluhak, MA Imran, S Rajasegarar",Non-intrusive load monitoring approaches for disaggregated energy sensing: A survey,1250,2012, mdpi.com, Sensors,"… Fine-grained energy monitoring can be achieved by deploying … Non-Intrusive Load 
Monitoring (NILM) is an attractive method for … We review the state-of-the art load signatures and …",https://www.mdpi.com/1424-8220/12/12/16838,https://www.mdpi.com/1424-8220/12/12/16838/pdf,89
4,"N Batra, J Kelly, O Parson, H Dutta…",NILMTK: An open source toolkit for non-intrusive load monitoring,705,2014, dl.acm.org, Proceedings of the 5th …,"… Non-intrusive load monitoring, or energy disaggregation, aims to separate household … To 
address this challenge, we present the Non-intrusive Load Monitoring Toolkit (NILMTK); an …",https://dl.acm.org/doi/abs/10.1145/2602044.2602051,https://arxiv.org/pdf/1404.3878,59
29,"C Zhang, M Zhong, Z Wang, N Goddard…",Sequence-to-point learning with neural networks for non-intrusive load monitoring,671,2018, ojs.aaai.org, Proceedings of the AAAI …,"Energy disaggregation (aka nonintrusive load monitoring, NILM), a single-channel blind 
source separation problem, aims to decompose the mains which records the whole house …",https://ojs.aaai.org/index.php/AAAI/article/view/11873,https://ojs.aaai.org/index.php/AAAI/article/download/11873/11732,84
49,A Filip,Blued: A fully labeled public dataset for event-based nonintrusive load monitoring research,588,2011, inferlab.org, 2nd workshop on data mining applications in …,"… In general, two main energy disaggregation approaches exist for non-intrusive load 
monitoring: event-based and non event-based. A good review of the existing approaches can be …",https://www.inferlab.org/wp-content/uploads/2012/08/2012_anderson_SustKDD.pdf,https://www.inferlab.org/wp-content/uploads/2012/08/2012_anderson_SustKDD.pdf,39
18,"O Parson, S Ghosh, M Weal, A Rogers",Non-intrusive load monitoring using prior models of general appliance types,502,2012, ojs.aaai.org, Proceedings of the AAAI …,"Non-intrusive appliance load monitoring is the process of disaggregating a household's 
total electricity consumption into its contributing appliances. In this paper we propose an …",https://ojs.aaai.org/index.php/AAAI/article/view/8162,https://ojs.aaai.org/index.php/AAAI/article/download/8162/8020,36
21,"C Beckel, W Kleiminger, R Cicchetti, T Staake…",The ECO data set and the performance of non-intrusive load monitoring algorithms,452,2014, dl.acm.org, Proceedings of the 1st …,"Non-intrusive load monitoring (NILM) is a popular approach to estimate appliance-level 
electricity consumption from aggregate consumption data of households. Assessing the …",https://dl.acm.org/doi/abs/10.1145/2674061.2674064,https://vs.inf.ethz.ch/publ/papers/beckel-2014-nilm.pdf,38
45,"S Makonin, F Popowich, IV Bajić, B Gill…",Exploiting HMM sparsity to perform online real-time nonintrusive load monitoring,451,2015, ieeexplore.ieee.org, IEEE Transactions on …,"… an adaptive non-intrusive appliance load monitoring system in … nal disaggregation for 
non-intrusive load monitoring (NILM) … buildings with nonintrusive load monitoring,” J. Ind. Ecol., …",https://ieeexplore.ieee.org/abstract/document/7317784/,No PDF link,41
53,"SB Leeb, SR Shaw, JL Kirtley",Transient event detection in spectral envelope estimates for nonintrusive load monitoring,445,1995, ieeexplore.ieee.org, IEEE Transactions on Power …,"… transient event detector for use in a nonintrusive load monitor (NILM). The NILM determines 
the operating schedule of the major electrical loads in a building from measurements made …",https://ieeexplore.ieee.org/abstract/document/400897/,https://emsg.mit.edu/wp-content/uploads/2016/07/5_Transient-Event-Detection-in-Spectral-Envelope-Estimates-for-Nonintrusive-Load-Monitoring.pdf,14
33,"T Hassan, F Javed, N Arshad",An empirical investigation of VI trajectory based load signatures for non-intrusive load monitoring,414,2013, ieeexplore.ieee.org, IEEE Transactions on Smart …,"… Abstract—Choice of load signature or feature space is one of … choices for non—intrusive 
load monitoring or energy disaggregation problem. Electrical power quantities, harmonic load …",https://ieeexplore.ieee.org/abstract/document/6575197/,https://arxiv.org/pdf/1305.0596,32
25,"SM Tabatabaei, S Dick, W Xu",Toward non-intrusive load monitoring via multi-label classification,355,2016, ieeexplore.ieee.org, IEEE Transactions on Smart …,"… The technique of non-intrusive load monitoring was first developed by Hart [100] at MIT in 
the 1980s. In this work, appliance signatures were the height of rising and falling edges in the …",https://ieeexplore.ieee.org/abstract/document/7498597/,No PDF link,36
5,"SR Shaw, SB Leeb, LK Norford…",Nonintrusive load monitoring and diagnostics in power systems,342,2008, ieeexplore.ieee.org, IEEE transactions on …,"… transient-based nonintrusive load monitoring that is practical … nonintrusive monitoring, where 
little or no initial parameter information may be available. Last, nonintrusive load monitoring …",https://ieeexplore.ieee.org/abstract/document/4463663/,https://emsg.mit.edu/wp-content/uploads/2024/05/33_Nonintrusive-Load-Monitoring-and-Diagnostics-in-Power-Systems.pdf,19
24,"M D'Incecco, S Squartini…",Transfer learning for non-intrusive load monitoring,317,2019, ieeexplore.ieee.org, IEEE Transactions on …,"Non-intrusive load monitoring (NILM) is a technique to recover source appliances from only 
the recorded mains in a household. NILM is unidentifiable and thus a challenge problem …",https://ieeexplore.ieee.org/abstract/document/8818314/,https://arxiv.org/pdf/1902.08835,45
17,"KD Anderson, ME Berges, A Ocneanu…",Event detection for non intrusive load monitoring,273,2012, ieeexplore.ieee.org,38th …,"… Abstract-Monitoring electricity consumption in the home is an important way to help 
reduce energy usage and Non-Intrusive Load Monitoring (NILM) techniques are a promising …",https://ieeexplore.ieee.org/abstract/document/6389367/,https://www.academia.edu/download/49696653/Event_detection_for_Non_Intrusive_load_m20161018-6509-1kag041.pdf,20
